Territory Colors (RGB8)
SEA_ZONE_1: 14d5d7
SEA_ZONE_2: 07e726
GREENLAND: beb52d
SEA_ZONE_3: a3f000
ICELAND: 58d912
SEA_ZONE_4: 32b955
SEA_ZONE_5: c56626
NORWAY: 736786
FINLAND: 7a8c5f
KARELIA_SSR: 55c030
KOM_SSR: cc851f
BRITAIN: 1063e0
N_IRELAND: e7c504
EIRE: 747775
SEA_ZONE_6: 59e704
SWEDEN: baf000
SEA_ZONE_7: 5b9061
RUSSIA: a54698
EVENKI_NATIONAL_OKRUG_SSR: c7ae24
YAKUT_SSR: 93ac3f
SOVIET_FAR_EAST: c922a8
KAMCHATKA_SSR: 907960
SEA_ZONE_57: 40b638
SEA_ZONE_58: c59226
ALASKA: 8b42a9
WESTERN_CANADA: 41d912
CENTRAL_CANADA: 373cb4
EASTERN_CANADA: 06e54a
SEA_ZONE_8: 988d53
SEA_ZONE_9: c72465
SEA_ZONE_10: a09150
FRANCE: 02eb5a
GERMANY: 39df0c
POLAND: bf2c9e
BELORUSSIA_SSR: a04b9b
OREL_SSR: 12d9c9
NOVOSIBIRSK_SSR: 888563
BURYAT_SSR: 687e88
SEA_ZONE_66: 887d68
EASTERN_US: dba410
SEA_ZONE_11: beb92d
SEA_ZONE_12: d0571b
SEA_ZONE_13: 618a6c
AZORES: 928459
SPAIN: b28339
PORTUGAL: 0a65e1
GIBRALTER: ca21ac
SEA_ZONE_14: 09b2e2
SWITZERLAND: c38328
ITALY: 6033ba
SEA_ZONE_15: d7c714
RUMANIA: 0cabdf
BALKANS: 07e7af
UKRAINE_SSR: 3980b2
CAUCASUS_SSR: b224c7
SEA_ZONE_18: 0b75e2
TURKEY: ab4048
KAZAKH_SSR: 73707b
PERSIA: 30bb8c
OMSK_SSR: 0fdc0f
AFGHANISTAN: e506de
TSINGHAI: a2a848
SINKIANG: 53e902
MONGOLIA: 8237b6
NORTH_CHINA: 9c44a7
SOUTH_CHINA: 509b9a
MANCHURIA: d49d17
